plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
335,335,,Star Wars Magnolia,Magnolia 'Star Wars',,False,False,False,False,False,False,False,"[""full sun""]",Frequent,Every year,High
336,336,,Sunburst Magnolia,Magnolia 'Sunburst',,False,False,False,False,False,False,False,"[""full sun""]",Average,Every year,High
337,337,,Yellow Bird Magnolia,Magnolia 'Yellow Bird',,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
338,338,,Yulan Magnolia,Magnolia denudata,Yulan magnolia,False,False,False,True,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Low
339,339,,Southern Magnolia,Magnolia grandiflora,Bull Bay,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Moderate
340,340,,Bracken's Brown Beauty Magnolia,Magnolia grandiflora 'Bracken's Brown Beauty',Bull Bay,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Moderate
341,341,,D.D. Blanchard Magnolia,Magnolia grandiflora 'D.D. Blanchard',Bull Bay,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Moderate
342,342,,Little Gem Magnolia,Magnolia grandiflora 'Little Gem',Bull Bay,False,False,False,False,False,True,True,"[""Full sun"", ""part shade""]",Average,Every year,Moderate
343,343,,Teddy Bear® Magnolia,Magnolia grandiflora 'Southern Charm',Bull Bay,False,False,False,False,False,True,True,"[""full sun"", ""part shade""]",Average,Every year,Moderate
344,344,,Kobus Magnolia,Magnolia kobus,,False,False,False,False,False,False,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Low
345,345,,Wada's Memory Magnolia,Magnolia kobus 'Wada's Memory',,False,False,False,False,False,True,True,"[""full sun"", ""part sun/part shade""]",Frequent,Every year,Low
346,346,,Oyama Magnolia,Magnolia sieboldii,Siebold's Magnolia,False,False,False,True,False,True,True,"[""full sun""]",Average,Every year,Moderate
347,347,,Leonard Messel Magnolia,Magnolia x loebneri 'Leonard Messel',,False,False,False,False,False,True,True,"[""Full sun""]",Average,Every year,Moderate
348,348,,Merrill Magnolia,Magnolia x loebneri 'Merrill',,False,False,False,False,False,True,True,"[""full sun""]",Frequent,Every year,Moderate
349,349,,Alexandrina Saucer Magnolia,Magnolia x soulangeana 'Alexandrina',,False,False,False,False,False,True,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Moderate
350,350,,Rustica Rubra Magnolia,Magnolia x soulangeana 'Rustica Rubra',,False,False,False,False,False,True,True,"[""full sun"", ""part sun/part shade""]",Average,Every year,Moderate
351,351,,Akane Apple,Malus 'Akane',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
352,352,,Ambrosia Apple,Malus 'Ambrosia',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,High
353,353,,Belle de Boskoop Apple,Malus 'Belle de Boskoop',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,Low
354,354,,Braeburn Apple,Malus 'Braeburn',,False,True,False,False,False,True,True,"[""full sun"", ""filtered shade""]",Frequent,Every year,High
355,355,,Candied Apple Flowering Crab,Malus 'Candied Apple',Roseybloom,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
356,356,,Chehalis Apple,Malus 'Chehalis',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,High
357,357,,Cortland Apple,Malus 'Cortland',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,Low
358,358,,Cox's Orange Pippin Apple,Malus 'Cox's Orange Pippin',Cox Orange,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
359,359,,Dolgo Apple,Malus 'Dolgo',Roseybloom,False,True,False,True,False,True,False,"[""full sun""]",Average,Every year,High
360,360,,Donald Wyman Flowering Crab,Malus 'Donald Wyman',Roseybloom,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Low
361,361,,Elstar Apple,Malus 'Elstar',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,High
362,362,,Gala Apple,Malus 'Gala',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
363,363,,Golden Delicious Apple,Malus 'Golden Delicious',,False,True,False,False,False,True,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
364,364,,Golden Russet Apple,Malus 'Golden Russet',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,Low
365,365,,Granny Smith Apple,Malus 'Granny Smith',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,Low
366,366,,Gravenstein Apple,Malus 'Gravenstein',,False,True,False,False,False,True,False,"[""full sun"", ""part sun/part shade""]",Average,Every year,High
367,367,,Honeycrisp Apple,Malus 'Honeycrisp',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
368,368,,Jonagold Apple,Malus 'Jonagold',,False,True,False,False,False,True,True,"[""full sun""]",Average,Every year,High
369,369,,Jonathan Apple,Malus 'Jonathan',,False,True,False,False,False,True,False,"[""full sun"", ""part shade""]",Frequent,Every year,High
370,370,,Liberty Apple,Malus 'Liberty',,False,True,False,False,False,True,True,"[""full sun"", ""part shade""]",Frequent,Every year,High
371,371,,Lodi Apple,Malus 'Lodi',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,Low
372,372,,Louisa Flowering Crab,Malus 'Louisa',Roseybloom,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Low
373,373,,Macintosh Apple,Malus 'Macintosh',,False,True,False,False,False,True,False,"[""full sun"", ""part shade""]",Frequent,Every year,High
374,374,,Melrose Apple,Malus 'Melrose',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,High
375,375,,Norland Apple,Malus 'Norland',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
376,376,,Pink Lady Apple,Malus 'Pink Lady',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
377,377,,Prairifire Flowering Crab,Malus 'Prairifire',Prairiefire,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,High
378,378,,Red Delicious Apple,Malus 'Red Delicious',,False,True,False,False,False,True,False,"[""full sun"", ""part shade""]",Frequent,Every year,Low
379,379,,Red Jewel Flowering Crab,Malus 'Red Jewel',Roseybloom,False,False,False,False,False,False,False,"[""full sun"", ""part shade""]",Average,Every year,Low
380,380,,Scarlet Pippin Apple,Malus 'Scarlet Pippin',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
381,381,,Sentinel Flowering Crab,Malus 'Sentinel',Roseybloom,False,False,False,False,False,False,False,"[""full sun""]",Average,Every year,Low
382,382,,Snowdrift Flowering Crab,Malus 'Snowdrift',Roseybloom,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,High
383,383,,Spartan Apple,Malus 'Spartan',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,High
384,384,,Summerland Apple,Malus 'Summerland',Summerland MacIntosh Apple,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
385,385,,Wealthy Apple,Malus 'Wealthy',,False,True,False,False,False,True,False,"[""full sun"", ""part sun/part shade""]",Average,Every year,High
386,386,,Yellow Transparent Apple,Malus 'Yellow Transparent',,False,True,False,False,False,True,False,"[""full sun""]",Average,Every year,Low
387,387,,Zestar Apple,Malus 'Zestar',,False,True,False,False,False,True,False,"[""full sun""]",Frequent,Every year,High
388,388,,Dawn Redwood,Metasequoia glyptostroboides,,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,High
389,389,,Gold Rush Dawn Redwood,Metasequoia glyptostroboides 'Gold Rush',,False,False,False,False,False,False,True,"[""full sun""]",Frequent,Every year,High
390,390,,Black Gum,Nyssa sylvatica,Tupelo,False,False,False,True,False,True,True,"[""full sun"", ""part sun/part shade"", ""sheltered""]",Average,Every year,Moderate
391,391,,Arbequina European Olive,Olea europaea 'Arbequina',,False,True,False,False,False,True,True,"[""full sun""]",Average,Every year,Moderate
392,392,,Sourwood,Oxydendron arboreum,,False,False,False,True,False,True,False,"[""full sun"", ""part shade""]",Average,Every year,Low
393,393,,Persian Parrotia,Parrotia persica,Persian Ironwood,False,False,False,True,False,True,True,"[""full sun""]",Average,Every year,Moderate
394,394,,Royal Empress Tree,Paulownia tomentosa,Princess Tree,False,False,False,True,False,True,True,"[""full sun"", ""part sun/part shade"", ""sheltered""]",Average,Every year,High
395,395,,Norway Spruce,Picea abies,Norwegian Spruce,False,True,False,True,False,False,True,"[""Full sun"", "" Part sun/part shade""]",Average,Every year,High
396,396,,Golden Norway Spruce,Picea abies 'Aurea',Norwegian Spruce,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,High
397,397,,Columnar Norway Spruce,Picea abies 'Cupressina',Norwegian Spruce,False,False,False,False,False,False,True,"[""full sun""]",Frequent,Every year,High
398,398,,Chinese abelia,Abelia chinensis,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
399,399,,abelia,Abelia 'Edward Goucher',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
400,400,,glossy abelia,Abelia grandiflora,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
401,401,,glossy abelia,Abelia grandiflora 'Hopleys' MISS LEMON,,False,False,False,False,False,False,True,"[""Full sun"", ""part shade""]",Average,Every year,High
402,402,,glossy abelia,Abelia grandiflora 'Kaleidoscope',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
403,403,,glossy abelia,Abelia grandiflora 'MINDUO1' SUNNY ANNIVERSARY,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
404,404,,glossy abelia,Abelia grandiflora 'Minipan' GOLDEN ANNIVERSARY,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
405,405,,glossy abelia,Abelia grandiflora 'Panache' SILVER ANNIVERSARY,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
406,406,,glossy abelia,Abelia grandiflora 'Sherwoodii',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
407,407,,fragrant abelia,Abelia mosanensis 'SMNAMDS' SWEET EMOTION,,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,High
408,408,,abelia,Abelia 'Rose Creek',,False,False,False,False,False,False,True,"[""full sun"", ""part shade""]",Average,Every year,Low
409,409,,white forsythia,Abeliophyllum distichum,,False,False,False,False,False,False,True,"[""full sun""]",Average,Every year,Moderate
