plant_disease_id,regular_url_image,thumbnail_image
34,https://perenual.com/storage/species_disease/34_d/regular/Anthracnose_on_blueberry_a1.jpg,https://perenual.com/storage/species_disease/34_d/thumbnail/Anthracnose_on_blueberry_a1.jpg
35,https://perenual.com/storage/species_disease/35_botryosphaeria_stevensii/regular/1346px-Anthracnose_-_canker_-_Baumkrebs_-_Pflanzenkrebs_-_Chancre_-_antracnosis_-_01a.jpg,https://perenual.com/storage/species_disease/35_botryosphaeria_stevensii/thumbnail/1346px-Anthracnose_-_canker_-_Baumkrebs_-_Pflanzenkrebs_-_Chancre_-_antracnosis_-_01a.jpg
36,https://perenual.com/storage/species_disease/36_fusarium_oxysporum/regular/13960296920_9a3fd55696_b.jpg,https://perenual.com/storage/species_disease/36_fusarium_oxysporum/thumbnail/13960296920_9a3fd55696_b.jpg
37,https://perenual.com/storage/species_disease/37_puccinia_asparagi/regular/9685492848_33a85eb8a3_b.jpg,https://perenual.com/storage/species_disease/37_puccinia_asparagi/thumbnail/9685492848_33a85eb8a3_b.jpg
38,https://perenual.com/storage/species_disease/38_septoria_spp/regular/16400699744_5a10c11d38_b.jpg,https://perenual.com/storage/species_disease/38_septoria_spp/thumbnail/16400699744_5a10c11d38_b.jpg
40,https://perenual.com/storage/species_disease/40_phytophthora_cinnamomi/regular/12105344686_394f58bb91_b.jpg,https://perenual.com/storage/species_disease/40_phytophthora_cinnamomi/thumbnail/12105344686_394f58bb91_b.jpg
41,,
42,https://perenual.com/storage/species_disease/42_botryosphaeria_spp/regular/15117960869_215abc3ca7_b.jpg,https://perenual.com/storage/species_disease/42_botryosphaeria_spp/thumbnail/15117960869_215abc3ca7_b.jpg
43,https://perenual.com/storage/species_disease/43_neofusicoccum_spp/regular/Botryosphaeria_canker.jpg,https://perenual.com/storage/species_disease/43_neofusicoccum_spp/thumbnail/Botryosphaeria_canker.jpg
44,https://perenual.com/storage/species_disease/44_avocado_sunblotch_viroid/regular/5688739048_29968a5283_b.jpg,https://perenual.com/storage/species_disease/44_avocado_sunblotch_viroid/thumbnail/5688739048_29968a5283_b.jpg
45,,
46,https://perenual.com/storage/species_disease/46_alternaria_gerberae/regular/Hibiscus_Bacterial_leaf_spot_caused_by_Pseudomonas_cichorii_28568457581829.jpg,https://perenual.com/storage/species_disease/46_alternaria_gerberae/thumbnail/Hibiscus_Bacterial_leaf_spot_caused_by_Pseudomonas_cichorii_28568457581829.jpg
47,,
