year,value,low,high
1985,1.0,1.0,1.0
1986,0.951341072480356,0.88635701513323,1.01971573238673
1987,0.89377962358712,0.812108099690561,0.99458144396493
1988,0.839700963879094,0.749018386923122,0.940355045392786
1989,0.808667380743344,0.71163718107831,0.924435770507496
1990,0.778780733628466,0.670870601963475,0.904792396471731
1991,0.74999863418922,0.644234361021992,0.876682908204464
1992,0.760130106253099,0.63715521737776,0.912504305400726
1993,0.770398440867775,0.639757335857393,0.937452461056204
1994,0.780805486862095,0.635394382617651,0.951149296064094
1995,0.791353118040091,0.639190105763402,0.972358374211687
1996,0.632404074777341,0.377808220322147,0.94105186368559
1997,0.648066695110342,0.362212143660484,1.04217282000164
1998,0.706460129629014,0.376795204586557,1.1912718107005
1999,0.77657190723411,0.417812317365933,1.34231856457567
2000,0.750879512508831,0.394733547951022,1.32914464865593
2001,0.63919751349046,0.325142871462529,1.14709268455613
2002,0.554852339086171,0.28380539823298,0.997998211191214
2003,0.546702790342959,0.269292677605002,0.995413400920436
2004,0.485994163102107,0.243063197289955,0.889477601548091
2005,0.440617323533806,0.219028537329848,0.830110565993134
2006,0.399774626361201,0.193404969709826,0.777233656696755
2007,0.372933550106739,0.177725642371832,0.731713584138974
2008,0.347862220339026,0.163268311633097,0.684575117518256
2009,0.341707629397716,0.156282721839636,0.686843114527208
2010,0.341345322504944,0.155687383846063,0.716551808965414
2011,0.304920915764868,0.135914079125953,0.636089913004449
2012,0.296626132383475,0.121958949765241,0.646466173484009
2013,0.263551968032872,0.106714136057952,0.605175729463761
2014,0.20770014513762,0.0857514083589282,0.491197564661127
2015,0.178688372060535,0.0705746116466559,0.423006746202732
2016,0.151948955567673,0.0573000781201015,0.365004058415305
2017,0.0987523667365953,0.0330280647451731,0.254737845738021
2018,0.0861582515701539,0.028384285200027,0.228342999329896
2019,0.0851810364348815,0.0280588638865671,0.218879856393246
2020,0.0824389693711139,0.0273559559423575,0.21093050311476
2021,0.0787998540148946,0.0260485748865272,0.204006949979312
