plant_id,general_plant_id,threatened_plant_id,common_name,scientific_name,other_name,if_threatened,if_edible,if_indoors,if_medicinal,if_poisonous,if_fruits,if_flowers,sun_expose,watering,plant_cycle,growth_rate
140,140,,Wilson's Pink Dwarf Japanese Maple,Acer palmatum 'Wilson's Pink Dwarf',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
141,141,,Emperor I Japanese Maple,Acer palmatum 'Wolff',Emperor 1,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
142,142,,Yellow Bird Japanese Maple,Acer palmatum 'Yellow Bird',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
143,143,,Yubae Japanese Maple*,Acer palmatum 'Yubae',Evening Glow Japanese Maple,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
144,144,,Moosewood,Acer pensylvanicum,Striped Maple,False,True,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
145,145,,Crimson King Norway Maple,Acer platanoides 'Crimson King',,False,False,False,False,False,True,True,"['part sun/part shade', 'full sun']",Average,Every year,High
146,146,,Crimson Sentry Norway Maple,Acer platanoides 'Crimson Sentry',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,High
147,147,,Harlequin Norway Maple,Acer platanoides 'Drummondii',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Minimum,Every year,High
148,148,,Emerald Queen Norway Maple,Acer platanoides 'Emerald Queen',,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,High
149,149,,Princeton Gold Maple,Acer platanoides 'Princeton Gold',,False,True,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,High
150,150,,Eskimo Sunset Sycamore Maple,Acer pseudoplatanus 'Eskimo Sunset',Planetree Maple,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,High
151,151,,Nizetii Sycamore Maple,Acer pseudoplatanus 'Nizetii',Planetree Maple,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
152,152,,Korean Maple,Acer pseudosieboldianum,Purplebloom Maple,False,False,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,Low
153,153,,Red Maple,Acer rubrum,Swamp Maple,False,False,False,True,False,True,True,['full sun'],Average,Every year,Moderate
154,154,,Autumn Flame Red Maple,Acer rubrum 'Autumn Flame',Swamp Maple,False,False,False,False,False,True,True,"['full sun', 'part shade']",Frequent,Every year,Moderate
155,155,,Bowhall Red Maple,Acer rubrum 'Bowhall',Swamp Maple,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
156,156,,Red Sunset® Red Maple,Acer rubrum 'Franksred',Swamp Maple,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
157,157,,Commemoration Sugar Maple,Acer saccharum 'Commemoration',Hard Maple,False,False,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,Low
158,158,,Green Mountain Sugar Maple,Acer saccharum 'Green Mountain',Hard Maple,False,True,False,False,False,True,True,"['full sun', 'part sun/part shade']",Average,Every year,High
159,159,,Legacy Sugar Maple,Acer saccharum 'Legacy',Hard Maple,False,True,False,False,False,True,True,"['part sun/part shade', 'full sun']",Average,Every year,High
160,160,,Golden Full Moon Maple,Acer shirasawanum 'Aureum',,False,False,False,False,False,True,True,"['Full sun', 'part shade']",Average,Every year,Low
161,161,,Autumn Moon Full Moon Maple,Acer shirasawanum 'Autumn Moon',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
162,162,,Moonrise Full Moon Maple,Acer shirasawanum 'Moonrise',,False,False,False,False,False,False,False,"['part shade', 'part sun/part shade']",Frequent,Every year,Low
163,163,,Red Dawn Full Moon Maple,Acer shirasawanum 'Red Dawn',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
164,164,,Yasemin Full Moon Maple,Acer shirasawanum 'Yasemin',,False,False,False,False,False,False,False,"['full sun', 'part shade']",Average,Every year,Low
165,165,,Hot Wings Tatarian Maple,Acer tataricum 'GarAnn',,False,False,False,False,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
166,166,,Snakebark Maple,Acer tegmentosum,Manchurian Striped Maple,False,False,False,False,False,False,False,"['part shade', 'part sun/part shade']",Frequent,Every year,Low
167,167,,Joe Witt Snakebark Maple,Acer tegmentosum 'Joe Witt',Manchurian Striped Maple,False,False,False,False,False,True,True,"['filtered shade', 'full sun', 'part sun/part shade']",Average,Every year,Moderate
168,168,,White Tigress Maple,Acer tegmentosum 'White Tigress',Manchurian Striped Maple,False,False,False,False,False,False,False,"['full sun', 'part sun/part shade']",Average,Every year,Low
169,169,,Three Flowered Maple,Acer triflorum,,False,False,False,True,False,False,True,"['Full sun', 'part shade']",Average,Every year,Low
170,170,,Armstrong Maple,Acer x freemanii 'Armstrong',,False,False,False,False,False,False,False,['full sun'],Average,Every year,High
171,171,,Autumn Blaze Maple,Acer x freemanii 'Jeffersred',,False,False,False,False,False,False,False,['full sun'],Average,Every year,High
172,172,,Mimosa,Albizia julibrissin,Silktree,False,False,False,True,False,True,True,['full sun'],Average,Every year,Moderate
173,173,,Ombrella™ Mimosa,Albizia julibrissin 'Boubri',Silktree,False,False,False,True,False,True,True,['full sun'],Average,Every year,Moderate
174,174,,Summer Chocolate Mimosa,Albizia julibrissin 'Summer Chocolate',Silktree,False,False,False,False,False,True,True,"['full sun', 'part shade']",Frequent,Every year,Moderate
175,175,,Autumn Brilliance Serviceberry,Amelanchier x grandiflora 'Autumn Brilliance',,False,True,False,False,False,True,False,"['full sun', 'part shade']",Frequent,Every year,Low
176,176,,Autumn Brilliance Serviceberry,Amelanchier x grandiflora 'Autumn Brilliance (tree form)',,False,True,False,False,False,True,False,"['full sun', 'part shade']",Frequent,Every year,Low
177,177,,Ballerina Serviceberry,Amelanchier x grandiflora 'Ballerina',,False,True,False,False,False,True,False,"['full sun', 'part shade']",Frequent,Every year,Low
178,178,,Princess Diana Serviceberry,Amelanchier x grandiflora 'Princess Diana',,False,True,False,False,False,True,False,"['full sun', 'part shade']",Average,Every year,High
179,179,,Variegated Japanese Angelica Tree,Aralia elata 'Variegata',,False,False,False,True,False,True,True,"['full sun', 'part shade']",Average,Every year,Moderate
180,180,,Monkey Puzzle Tree,Araucaria araucana,Chilean Pine,False,False,False,False,False,False,True,"['full sun', 'part shade']",Average,Every year,Moderate
