year,value,low,high
2000,1.0,1.0,1.0
2001,1.04760892486465,1.00005910353667,1.11929524871567
2002,1.09017585095673,1.01702940098476,1.1685831155505
2003,1.11337243451078,1.02988787079398,1.22336599722177
2004,1.12909045219791,1.04079924107911,1.24238281086958
2005,1.13422389375362,1.04256555637118,1.24985304253318
2006,1.12752635050854,1.03477073867142,1.24078073777465
2007,1.11523704214537,1.02334591212362,1.22839886399138
2008,1.11059945686196,1.01315247934741,1.23188150173695
2009,1.12478801247883,0.991718039672424,1.2979697750565
2010,1.15055990457538,0.973954793635397,1.37675375877545
2011,1.17407278053423,0.954569248893395,1.46693558105377
2012,1.17474365902971,0.922433798837385,1.51268801562329
2013,1.38141576911889,0.98789635309935,2.10235359051626
2014,1.47049800317383,1.00875157250869,2.25294230325345
2015,1.72231443643139,0.922207755494141,3.59958229598705
2016,1.23625778382358,0.603671303285495,2.66300670201657
2017,0.836766243277192,0.341451767266218,1.90545703289689
2018,0.642971040638857,0.254656636936699,1.57281014407398
2019,0.594536649461022,0.226708894946449,1.59248866553942
2020,1.24227018921674,0.37101898439434,3.58393864702541
2021,2.27156899633037,0.435445189290958,10.9842233550997
