year,value,low,high
2000,1.0,1.0,1.0
2001,1.03695036890367,0.739469089261772,1.49366080275286
2002,1.03013088348868,0.682141410571333,1.57379794603128
2003,1.17725160806223,0.69714434119668,2.0429721701192
2004,1.10057434356429,0.537920104904259,2.08799572646657
2005,1.3850103206883,0.616613049187876,2.73473313187763
2006,1.0535040118222,0.466755235942706,2.3183680653703
2007,1.08354834324908,0.489043987784325,2.39431550702787
2008,1.03519702403497,0.469483274627669,2.2796750919237
2009,1.0400277421005,0.467480706384016,2.27811587061141
2010,0.971380029575459,0.441745169880516,2.15700312471952
2011,0.860404935566988,0.387946156134031,1.91836252608442
2012,0.740807103883325,0.332323465844229,1.67307511927551
2013,0.733010371001456,0.31332176000397,1.73074880087603
2014,0.639320826018315,0.268342552659726,1.49812809756292
2015,0.609481985262715,0.25309799628013,1.46055963119754
2016,0.564838063403323,0.235098005358088,1.39062194379277
2017,0.394712818962681,0.148647640159308,1.00743332012827
2018,0.653525136576634,0.195374084545855,2.84825967223693
2019,0.796855118876712,0.214237643029589,3.58170753636963
2020,0.590668204493451,0.146995492561153,2.58887882100355
2021,0.503943030607089,0.109462880804515,2.55483168962973
